Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0113","Rice","2006","2006","hg/ha","33750","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0113","Rice","2007","2007","hg/ha","32471","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0113","Rice","2008","2008","hg/ha","32211","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0113","Rice","2009","2009","hg/ha","32250","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2005","2005","tonnes","485000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2006","2006","tonnes","540000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2007","2007","tonnes","552000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2008","2008","tonnes","612000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2009","2009","tonnes","645000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01802","Sugar cane","2005","2005","ha","2000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01802","Sugar cane","2006","2006","ha","3700","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01802","Sugar cane","2007","2007","ha","3700","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01802","Sugar cane","2008","2008","ha","3000","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01802","Sugar cane","2009","2009","ha","3080","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01802","Sugar cane","2005","2005","hg/ha","190000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01802","Sugar cane","2006","2006","hg/ha","189189","A","Official figure"
